Symbol,ETF Name,Asset Class
YCL,ProShares Ultra Yen,Currency
USML,ETRACS 2x Leveraged MSCI US Minimum Volatility Factor TR ETN,Equity
TPOR,Direxion Daily Transportation Bull 3X Shares,Equity
IWFL,ETRACS 2x Leveraged US Growth Factor TR ETN,Equity
MSOX,AdvisorShares MSOS 2x Daily ETF,Equity
EURL,Direxion Daily FTSE Europe Bull 3x Shares,Equity
REK,ProShares Short Real Estate,Real Estate
YCS,ProShares UltraShort Yen,Currency
QTJA,Innovator Growth Accelerated Plus ETF – January,Equity
ESUS,ETRACS 2x Leveraged MSCI US ESG Focus TR ETN,Equity
UXI,ProShares Ultra Industrials,Equity
EDZ,Direxion Daily MSCI Emerging Markets Bear 3X Shares,Equity
MVRL,ETRACS Monthly Pay 1.5x Leveraged Mortgage REIT ETN,Real Estate
XTOC,Innovator U.S. Equity Accelerated Plus ETF – October,Equity
PST,ProShares UltraShort 7-10 Year Treasury,Bond
OILD,MicroSectors Oil & Gas Exp. & Prod. -3x Inverse Leveraged ETN,Commodity
UJB,ProShares Ultra High Yield,Bond
UST,ProShares Ultra 7-10 Year Treasury,Bond
IWML,ETRACS 2x Leveraged US Size Factor TR ETN,Equity
CEFD,ETRACS Monthly Pay 1.5x Leveraged Closed-End Fund Index ETN,Multi-Asset
MTUL,ETRACS 2x Leveraged MSCI US Momentum Factor TR ETN,Equity
EET,ProShares Ultra MSCI Emerging Markets,Equity
MEXX,Direxion Daily MSCI Mexico Bull 3X Shares,Equity
SKF,ProShares UltraShort Financials,Equity
UCC,ProShares Ultra Consumer Discretionary,Equity
ERY,Direxion Daily Energy Bear 2X Shares,Equity
DUG,ProShares UltraShort Energy,Equity
PILL,Direxion Daily Pharmaceutical & Medical Bull 3X Shares,Equity
GDE,WisdomTree Efficient Gold Plus Equity Strategy Fund,Multi-Asset
OOTO,Direxion Daily Travel & Vacation Bull 2X Shares,Equity
XTJA,Innovator U.S. Equity Accelerated Plus ETF – January,Equity
BABX,GraniteShares 1.75x Long BABA Daily ETF,Equity
QTOC,Innovator Growth Accelerated Plus ETF – October,Equity
HDLB,ETRACS Monthly Pay 2xLeveraged US High Dividend Low Volatility ETN Series B,Equity
PFFL,ETRACS 2xMonthly Pay Leveraged Preferred Stock Index ETN,Preferred Stock
UPW,ProShares Ultra Utilities,Equity
FBL,GraniteShares 1.5x Long Meta Daily ETF,Equity
EFO,ProShares Ultra MSCI EAFE,Equity
EVAV,Direxion Daily Electric and Autonomous Vehicles Bull 2X Shares,Equity
ULE,ProShares Ultra Euro,Currency
BZQ,ProShares UltraShort MSCI Brazil Capped,Equity
FLYU,MicroSectors Travel 3x Leveraged ETN,Equity
XPP,ProShares Ultra FTSE China 50,Equity
EZJ,ProShares Ultra MSCI Japan,Equity
SSG,Proshares Ultrashort Semiconductors,Equity
EEV,ProShares UltraShort MSCI Emerging Markets,Equity
DBJA,Innovator Double Stacker 9 Buffer ETF – January,Equity
UBR,ProShares Ultra MSCI Brazil Capped,Equity
XDJA,Innovator U.S. Equity Accelerated ETF – January,Equity
KLNE,Direxion Daily Global Clean Energy Bull 2X Shares ETF,Equity
UGE,ProShares Ultra Consumer Staples,Equity
TSJA,Innovator Triple Stacker ETF – January,Equity
XDOC,Innovator U.S. Equity Accelerated ETF – October,Equity
SHNY,MicroSectors Gold 3X Leveraged ETNs,Equity
TSL,GraniteShares 1.25x Long Tesla Daily ETF GraniteShares 1.25x Long TSLA Daily ETF,Equity
UPV,ProShares Ultra FTSE Europe,Equity
DZZ,DB Gold Double Short Exchange Traded Notes,Commodity
CARU,MAX Auto Industry 3X Leveraged ETN,Equity
AAPB,GraniteShares 1.75x Long AAPL Daily ETF,Equity
BIS,ProShares UltraShort Nasdaq Biotechnology,Equity
WTID,MicroSectors Energy 3X Inverse Leveraged ETNs,Commodity
JETU,MAX Airlines 3X Leveraged ETNs,Equity
SKYU,ProShares Ultra Nasdaq Cloud Computing ETF,Equity
SMDD,ProShares UltraPro Short MidCap400,Equity
WTIU,MicroSectors Energy 3X Leveraged ETNs,Commodity
DSJA,Innovator Double Stacker ETF – January,Equity
SDD,ProShares UltraShort SmallCap600,Equity
SIJ,ProShares UltraShort Industrials,Equity
SZK,ProShares UltraShort Consumer Staples,Equity
MZZ,ProShares UltraShort MidCap400,Equity
SCC,ProShares UltraShort Consumer Discretionary,Equity
RXD,ProShares UltraShort Health Care,Equity
SMN,ProShares UltraShort Materials,Equity
SDP,ProShares UltraShort Utilities,Equity
LTL,ProShares Ultra Communication Services,Equity
EFU,ProShares UltraShort MSCI EAFE,Equity
